time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	soil_plate_pressure_kPa	agg_plate_pressure_kPa	soil_pore_water_pressure_kPa	agg_pore_water_pressure_kPa
0.000000	1.583786	1.557018	1.527406	1.465595	1.453569	1.454475	1.973661	1.561803	1.570725	1.548872	1.427707	1.321026	0.956829	-1.322641	0.401391	0.925660
0.062500	1.584174	1.556889	1.527148	1.465595	1.453440	1.454863	1.973403	1.561803	1.570725	1.548484	1.427319	1.320896	0.956829	-1.322641	0.401720	0.925660
0.125000	1.583915	1.557018	1.527148	1.465854	1.453699	1.454733	1.973791	1.561932	1.570596	1.548613	1.427319	1.321284	0.956500	-1.321814	0.401720	0.925660
0.187500	1.583786	1.557018	1.527406	1.465725	1.453440	1.454604	1.973920	1.561803	1.570855	1.548743	1.427449	1.322836	0.956500	-1.322641	0.401720	0.925330
0.250000	1.583786	1.556889	1.527406	1.465595	1.453569	1.454345	1.974955	1.561803	1.570725	1.548872	1.427837	1.323871	0.956829	-1.321814	0.401720	0.925660
0.312500	1.584562	1.557148	1.527277	1.465337	1.453440	1.453828	1.975472	1.561803	1.570855	1.548743	1.428354	1.325293	0.957818	-1.322641	0.401391	0.925660
0.375000	1.584174	1.556760	1.527406	1.465595	1.453440	1.453182	1.975989	1.561674	1.570855	1.548743	1.429518	1.326715	0.957159	-1.320987	0.401720	0.925660
0.437500	1.584432	1.557148	1.527794	1.465078	1.453569	1.452406	1.976506	1.561803	1.571113	1.548872	1.429776	1.327621	0.957818	-1.320987	0.402049	0.925991
0.500000	1.584303	1.557277	1.528053	1.464690	1.453311	1.452276	1.976636	1.561803	1.571113	1.549001	1.429906	1.328009	0.958148	-1.320160	0.402049	0.925991
0.562500	1.584303	1.557277	1.528182	1.464173	1.453311	1.451888	1.976636	1.561803	1.571113	1.549001	1.429906	1.328267	0.958478	-1.320987	0.401720	0.925991
0.625000	1.584562	1.556889	1.528182	1.464432	1.453440	1.451888	1.976636	1.561803	1.571243	1.548872	1.429906	1.327621	0.957818	-1.320987	0.401720	0.925660
0.687500	1.584691	1.557148	1.527923	1.464432	1.453311	1.451888	1.976377	1.561803	1.571113	1.548872	1.429776	1.326845	0.957818	-1.320987	0.401391	0.925991
0.750000	1.584562	1.557148	1.527923	1.464561	1.453440	1.452147	1.976248	1.561932	1.571113	1.548872	1.429647	1.325552	0.957818	-1.321814	0.401391	0.925660
0.812500	1.584174	1.557018	1.527665	1.464561	1.453440	1.452406	1.975860	1.561674	1.570725	1.548872	1.429906	1.324646	0.957159	-1.321814	0.402049	0.925660
0.875000	1.584045	1.557148	1.527794	1.464949	1.453569	1.452923	1.975213	1.561674	1.571113	1.548872	1.429000	1.323353	0.957489	-1.322641	0.401720	0.925660
0.937500	1.584303	1.557018	1.527665	1.464690	1.453440	1.453699	1.974567	1.561932	1.570725	1.548743	1.428354	1.322060	0.956500	-1.321814	0.402049	0.925660
1.000000	1.584045	1.557018	1.527148	1.465078	1.453440	1.454216	1.973920	1.561803	1.570725	1.548613	1.427578	1.320896	0.956829	-1.322641	0.401720	0.925660
1.062500	1.583786	1.556889	1.527148	1.465337	1.453569	1.454604	1.973532	1.561803	1.570596	1.548613	1.427578	1.321026	0.956829	-1.322641	0.401720	0.925991
1.125000	1.583915	1.557018	1.527148	1.465337	1.453440	1.454604	1.973791	1.561932	1.570596	1.548484	1.427578	1.321284	0.956500	-1.320987	0.402049	0.925660
1.187500	1.584045	1.557018	1.527535	1.465595	1.453699	1.454345	1.974049	1.561803	1.570596	1.548872	1.427449	1.322836	0.956829	-1.322641	0.401063	0.925660
1.250000	1.584045	1.557018	1.527277	1.465337	1.453569	1.453828	1.974825	1.561803	1.570855	1.548872	1.427837	1.323871	0.957159	-1.322641	0.402049	0.925330
1.312500	1.584174	1.557148	1.527665	1.465207	1.453440	1.453311	1.975730	1.561803	1.571113	1.548872	1.428483	1.325293	0.957818	-1.321814	0.401391	0.925330
1.375000	1.584174	1.557148	1.527665	1.465078	1.453311	1.452664	1.976377	1.561803	1.570855	1.548872	1.429518	1.326586	0.957489	-1.320987	0.401720	0.925660
1.437500	1.584303	1.557406	1.528053	1.464690	1.453569	1.452406	1.976636	1.561932	1.570855	1.548872	1.429906	1.327621	0.957818	-1.320987	0.402049	0.925660
1.500000	1.584562	1.556889	1.527665	1.464302	1.453311	1.452018	1.976894	1.561803	1.571113	1.548872	1.430035	1.328009	0.958807	-1.319334	0.401720	0.925660
1.562500	1.584562	1.556889	1.528182	1.464302	1.453440	1.451759	1.977024	1.561932	1.571113	1.549001	1.430164	1.328267	0.958478	-1.319334	0.402049	0.925660
1.625000	1.584303	1.557018	1.528182	1.464561	1.453569	1.451759	1.977024	1.561803	1.571113	1.549001	1.430164	1.327621	0.958148	-1.319334	0.401720	0.925660
1.687500	1.584432	1.557277	1.528182	1.464302	1.453699	1.451759	1.976636	1.561803	1.571243	1.549001	1.429906	1.326586	0.957489	-1.320987	0.401720	0.925660
1.750000	1.584303	1.557148	1.527665	1.464173	1.453440	1.452018	1.976377	1.561803	1.571113	1.548872	1.429906	1.325422	0.957489	-1.321814	0.401391	0.925991
1.812500	1.584174	1.557148	1.527923	1.464561	1.453440	1.452147	1.975860	1.561803	1.571113	1.548872	1.429647	1.324388	0.956829	-1.320987	0.401391	0.925991
1.875000	1.584045	1.557018	1.527923	1.464690	1.453699	1.452923	1.975084	1.561803	1.570984	1.549001	1.429130	1.323353	0.957489	-1.321814	0.401391	0.925660
1.937500	1.584045	1.557148	1.527665	1.464561	1.453440	1.453311	1.974696	1.561803	1.570855	1.548743	1.428483	1.321931	0.957159	-1.322641	0.402049	0.925991
2.000000	1.583786	1.557148	1.527406	1.465078	1.453440	1.454087	1.973791	1.561674	1.570855	1.548872	1.427578	1.320896	0.956829	-1.322641	0.401391	0.925660
