time	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	volt_ch17	volt_ch18	volt_ch19	volt_ch20
2026-03-24 12:40:24.773468	0.000319	-0.000657	0.006998	0.012282	-0.000171	0.000219	-0.000909	0.000198	0.187206	0.540614	-0.540302	-1.217557	0.300191	-1.409369	1.349577	0.166513	3.111374	3.056194	3.680907	3.272314	0.020683	0.005575	0.000648	-0.000009
2026-03-24 12:40:25.556722	0.000321	-0.000656	0.006999	0.012280	-0.000171	0.000215	-0.000907	0.000196	0.186877	0.541270	-0.540302	-1.217557	0.402009	-1.227739	1.577191	0.418432	3.111045	3.056194	3.680907	3.272643	0.021012	0.005903	0.000648	-0.000009
2026-03-24 12:40:26.463907	0.000322	-0.000657	0.006999	0.012283	-0.000173	0.000215	-0.000908	0.000199	0.186877	0.540942	-0.540630	-1.217557	0.401681	-1.228724	1.576863	0.417446	3.111045	3.056523	3.680578	3.271657	0.020683	0.005903	0.000648	-0.000009
2026-03-24 12:40:27.561065	0.000320	-0.000658	0.006998	0.012280	-0.000171	0.000218	-0.000907	0.000199	0.187206	0.541270	-0.540630	-1.217885	0.401681	-1.227739	1.577191	0.418103	3.111374	3.055866	3.680578	3.271986	0.020683	0.005903	0.000977	-0.000009
2026-03-24 12:40:28.562534	0.000320	-0.000658	0.006998	0.012279	-0.000172	0.000218	-0.000908	0.000197	0.187206	0.541270	-0.540302	-1.217885	0.401352	-1.229381	1.575878	0.417118	3.111374	3.056523	3.681235	3.271986	0.020683	0.005575	0.000320	0.000320
2026-03-24 12:40:29.458778	0.000320	-0.000657	0.006997	0.012281	-0.000171	0.000216	-0.000907	0.000198	0.187206	0.541270	-0.540302	-1.217885	0.402009	-1.228396	1.577520	0.419417	3.111374	3.056851	3.681563	3.271986	0.020683	0.005575	0.000648	-0.000009
2026-03-24 12:40:30.459711	0.000321	-0.000657	0.007000	0.012282	-0.000171	0.000212	-0.000907	0.000197	0.187534	0.540614	-0.540302	-1.217885	0.402995	-1.225768	1.580476	0.422373	3.111045	3.055866	3.680578	3.272314	0.020683	0.005575	0.000320	-0.000009
2026-03-24 12:40:31.555670	0.000319	-0.000657	0.006997	0.012280	-0.000172	0.000217	-0.000909	0.000196	0.187206	0.540942	-0.540302	-1.217885	0.402666	-1.226425	1.578505	0.420074	3.110388	3.056523	3.681235	3.272314	0.020683	0.005903	0.000648	0.000320
2026-03-24 12:40:32.558355	0.000320	-0.000658	0.006998	0.012280	-0.000170	0.000218	-0.000909	0.000198	0.187534	0.540614	-0.539974	-1.217885	0.402338	-1.227410	1.577848	0.419745	3.111045	3.055866	3.681235	3.272971	0.021340	0.005575	0.000648	-0.000009
2026-03-24 12:40:33.462188	0.000320	-0.000657	0.006998	0.012280	-0.000172	0.000215	-0.000908	0.000197	0.187206	0.539957	-0.541944	-1.223469	0.396426	-1.232665	1.577191	0.414490	3.111374	3.057180	3.683206	3.277241	0.021340	0.005903	0.000648	0.000648
2026-03-24 12:40:34.748449	0.000321	-0.000657	0.006999	0.012282	-0.000172	0.000213	-0.000905	0.000197	0.187534	0.539300	-0.541944	-1.223141	0.397739	-1.232009	1.578505	0.416132	3.111045	3.057508	3.683206	3.277898	0.021669	0.005903	0.000320	-0.000009
2026-03-24 12:40:35.551729	0.000321	-0.000656	0.006998	0.012282	-0.000171	0.000217	-0.000907	0.000197	0.187206	0.539957	-0.541944	-1.223469	0.397411	-1.232665	1.576534	0.414162	3.111045	3.057180	3.683206	3.277569	0.021012	0.006232	0.000648	-0.000009
2026-03-24 12:40:36.563344	0.000318	-0.000660	0.006996	0.012280	-0.000171	0.000218	-0.000912	0.000198	0.187206	0.539628	-0.541944	-1.223141	0.397739	-1.231680	1.577848	0.415147	3.111374	3.057836	3.683206	3.277898	0.021669	0.005903	0.000648	0.000648
2026-03-24 12:40:37.565393	0.000320	-0.000658	0.006998	0.012279	-0.000173	0.000215	-0.000908	0.000196	0.186877	0.539628	-0.541944	-1.223141	0.396097	-1.234308	1.575221	0.412191	3.111045	3.056851	3.682549	3.277569	0.021669	0.005903	0.000648	0.000320
2026-03-24 12:40:38.556813	0.000321	-0.000656	0.006999	0.012280	-0.000173	0.000213	-0.000906	0.000196	0.186549	0.539628	-0.542273	-1.223141	0.396426	-1.233651	1.576206	0.412520	3.111374	3.057508	3.682549	3.277569	0.021669	0.006232	0.000320	0.000320
2026-03-24 12:40:39.569213	0.000321	-0.000656	0.006997	0.012280	-0.000171	0.000218	-0.000908	0.000198	0.187534	0.539300	-0.542273	-1.223469	0.396754	-1.233322	1.575549	0.412191	3.111702	3.057836	3.683206	3.277569	0.021340	0.005903	0.000320	0.000320
2026-03-24 12:40:40.557881	0.000318	-0.000659	0.006998	0.012278	-0.000173	0.000218	-0.000910	0.000196	0.186877	0.539628	-0.541944	-1.223141	0.396426	-1.233979	1.575221	0.411206	3.111045	3.057836	3.683534	3.277898	0.021669	0.006232	0.000648	0.000320
2026-03-24 12:40:41.565658	0.000321	-0.000658	0.006998	0.012282	-0.000171	0.000216	-0.000908	0.000197	0.186877	0.539300	-0.541944	-1.223141	0.396097	-1.233322	1.574892	0.411534	3.111374	3.057836	3.683206	3.277241	0.021340	0.005903	0.000648	0.000320
2026-03-24 12:40:42.569670	0.000320	-0.000656	0.006998	0.012282	-0.000174	0.000215	-0.000907	0.000198	0.187534	0.538971	-0.542273	-1.223469	0.396097	-1.234308	1.574564	0.410549	3.110717	3.057180	3.682877	3.277898	0.021669	0.006232	0.000648	-0.000009
2026-03-24 12:40:43.558746	0.000320	-0.000658	0.006998	0.012281	-0.000173	0.000214	-0.000909	0.000198	0.186877	0.538971	-0.542601	-1.222812	0.396426	-1.234636	1.573907	0.410549	3.110717	3.056851	3.682549	3.277898	0.021340	0.005903	0.000977	0.000648
2026-03-24 12:40:44.557323	0.000319	-0.000659	0.006997	0.012278	-0.000171	0.000218	-0.000909	0.000197	0.186877	0.539300	-0.542273	-1.223141	0.396426	-1.233651	1.574564	0.410877	3.111045	3.057508	3.682549	3.277241	0.021340	0.006232	0.000648	0.000320
2026-03-24 12:40:45.560600	0.000321	-0.000656	0.006998	0.012281	-0.000173	0.000214	-0.000908	0.000197	0.186877	0.539628	-0.542601	-1.222812	0.396097	-1.235621	1.573578	0.408578	3.111702	3.057508	3.682549	3.277241	0.021340	0.006232	0.001305	-0.000009
2026-03-24 12:40:46.558163	0.000322	-0.000657	0.006999	0.012284	-0.000172	0.000214	-0.000904	0.000196	0.186877	0.539300	-0.541944	-1.223469	0.395112	-1.235621	1.572265	0.406936	3.111045	3.057508	3.682549	3.277241	0.021340	0.006232	0.000977	0.000320
2026-03-24 12:40:48.837283	0.000321	-0.000654	0.006998	0.012281	-0.000172	0.000216	-0.000907	0.000197	0.186549	0.539957	-0.541944	-1.223141	0.395440	-1.235293	1.573578	0.409235	3.111702	3.057836	3.682549	3.277241	0.021669	0.005903	0.000648	0.000320
2026-03-24 12:40:49.015237	0.000319	-0.000658	0.006998	0.012280	-0.000172	0.000219	-0.000908	0.000199	0.187206	0.539957	-0.541944	-1.223141	0.394783	-1.235621	1.572921	0.407593	3.111045	3.057508	3.683206	3.277569	0.021340	0.005903	0.000648	-0.000009
2026-03-24 12:40:49.548097	0.000320	-0.000658	0.006998	0.012281	-0.000173	0.000216	-0.000908	0.000198	0.186877	0.539300	-0.541944	-1.222812	0.396097	-1.235293	1.573250	0.408250	3.111374	3.057508	3.682549	3.277241	0.021669	0.005903	0.000977	0.000320
2026-03-24 12:40:50.549533	0.000320	-0.000657	0.006998	0.012281	-0.000172	0.000213	-0.000905	0.000196	0.186877	0.539300	-0.541944	-1.223141	0.395440	-1.235621	1.572593	0.407264	3.111045	3.057180	3.682549	3.277898	0.021012	0.006560	0.000320	0.000320
2026-03-24 12:40:51.461338	0.000320	-0.000657	0.006998	0.012281	-0.000172	0.000216	-0.000906	0.000197	0.187206	0.539957	-0.541944	-1.223141	0.396097	-1.234308	1.574892	0.409892	3.111045	3.057508	3.682549	3.277898	0.021669	0.006232	0.000648	-0.000009
2026-03-24 12:40:52.466569	0.000319	-0.000658	0.006997	0.012280	-0.000171	0.000217	-0.000910	0.000197	0.186549	0.539628	-0.541944	-1.222484	0.396097	-1.234308	1.575878	0.411534	3.111374	3.057180	3.682549	3.277241	0.021669	0.006232	0.000648	0.000320
2026-03-24 12:40:53.545800	0.000320	-0.000657	0.006999	0.012281	-0.000172	0.000215	-0.000910	0.000197	0.187206	0.539957	-0.542273	-1.223141	0.396754	-1.233979	1.576534	0.411863	3.110717	3.057180	3.682549	3.277898	0.021669	0.005575	0.000648	-0.000009
2026-03-24 12:40:54.551232	0.000321	-0.000657	0.006999	0.012281	-0.000173	0.000213	-0.000905	0.000197	0.187206	0.539628	-0.541944	-1.223141	0.396426	-1.233979	1.575878	0.412191	3.110717	3.057180	3.683206	3.277569	0.021340	0.005903	0.000648	-0.000009
2026-03-24 12:40:55.541527	0.000320	-0.000657	0.007000	0.012280	-0.000172	0.000215	-0.000909	0.000197	0.186877	0.538971	-0.542273	-1.222484	0.396754	-1.233322	1.576863	0.412520	3.111045	3.056851	3.682220	3.277241	0.021012	0.005903	0.000648	-0.000009
2026-03-24 12:40:56.539210	0.000318	-0.000659	0.006996	0.012279	-0.000170	0.000217	-0.000910	0.000197	0.186877	0.539957	-0.541944	-1.222812	0.397411	-1.232337	1.577520	0.413833	3.111045	3.057180	3.682877	3.277241	0.021669	0.006232	0.000648	0.000320
2026-03-24 12:40:57.575065	0.000320	-0.000659	0.006998	0.012281	-0.000171	0.000216	-0.000909	0.000196	0.186877	0.539300	-0.541944	-1.223141	0.397739	-1.231680	1.578834	0.415804	3.111045	3.057180	3.682549	3.277569	0.021340	0.006232	0.000320	0.000320
2026-03-24 12:40:58.459332	0.000321	-0.000657	0.006999	0.012282	-0.000172	0.000215	-0.000907	0.000199	0.186877	0.539628	-0.541944	-1.222812	0.397739	-1.229709	1.581790	0.420731	3.111374	3.057180	3.682549	3.276912	0.021012	0.006232	0.000648	-0.000009
2026-03-24 12:40:59.470498	0.000322	-0.000656	0.006999	0.012280	-0.000172	0.000213	-0.000907	0.000196	0.187206	0.539628	-0.541616	-1.223141	0.397411	-1.231352	1.579490	0.416789	3.111045	3.057508	3.682549	3.277569	0.021340	0.005575	0.000648	0.000648
2026-03-24 12:41:00.558983	0.000319	-0.000658	0.006997	0.012279	-0.000172	0.000217	-0.000910	0.000198	0.186220	0.539957	-0.541944	-1.223141	0.397083	-1.232009	1.578505	0.415804	3.110717	3.057180	3.682877	3.277569	0.021012	0.006232	0.000648	0.000320
2026-03-24 12:41:01.580586	0.000318	-0.000657	0.006997	0.012279	-0.000171	0.000215	-0.000909	0.000197	0.187206	0.539628	-0.541944	-1.223141	0.396426	-1.232994	1.577191	0.413505	3.110717	3.056851	3.682220	3.277241	0.021340	0.006560	0.000648	0.000320
2026-03-24 12:41:02.558317	0.000320	-0.000656	0.006999	0.012281	-0.000172	0.000215	-0.000906	0.000197	0.186877	0.539300	-0.542273	-1.223141	0.396754	-1.232994	1.576863	0.413176	3.110717	3.057508	3.682877	3.277241	0.021340	0.005903	0.000320	-0.000009
2026-03-24 12:41:03.461505	0.000321	-0.000657	0.006999	0.012281	-0.000171	0.000215	-0.000906	0.000197	0.186877	0.539300	-0.541944	-1.222484	0.395769	-1.232994	1.575549	0.411863	3.110388	3.057180	3.682877	3.277569	0.021340	0.006232	0.000320	-0.000009
2026-03-24 12:41:04.461359	0.000321	-0.000658	0.006997	0.012279	-0.000172	0.000216	-0.000909	0.000198	0.187206	0.539628	-0.541944	-1.222484	0.396426	-1.232994	1.576534	0.412520	3.111045	3.056851	3.682220	3.277241	0.021340	0.006232	0.000648	0.000648
