time_s	DCDT_Right_Slab_A1	DCDT_Right_Slab_A2	DCDT_Right_Slab_A3	DCDT_Right_Slab_B1	DCDT_Right_Slab_B3	DCDT_Left_Slab_B1	DCDT_Left_Slab_B2_Bot	DCDT_Left_Slab_B3	DCDT_Left_Slab_C1	DCDT_Left_Slab_C2	DCDT_Left_Slab_C3	DCDT_Beam_B2_Top	volt_ch17	volt_ch18	volt_ch19	volt_ch20	SG_2E_top	SG_3E_top	SG_4E_top	SG_4E_bot	SG_5E_top	SG_5E_bot	SG_6E_top	SG_7E_top
0.000000	4.022824	3.954835	3.879619	3.722620	3.692074	3.694373	5.013110	3.966988	3.989651	3.934142	3.626384	3.355412	0.023639	0.005903	-0.000009	-0.000337	0.000135	-0.000873	0.006756	0.017771	-0.000351	0.000416	-0.001214	-0.000087
0.062500	4.023810	3.954506	3.878963	3.722620	3.691745	3.695358	5.012453	3.966988	3.989651	3.933157	3.625398	3.355084	0.023639	0.005903	0.000320	-0.000337	0.000135	-0.000872	0.006757	0.017772	-0.000350	0.000415	-0.001214	-0.000087
0.125000	4.023153	3.954835	3.878963	3.723277	3.692402	3.695030	5.013438	3.967316	3.989322	3.933485	3.625398	3.356069	0.023311	0.006232	0.000320	-0.000337	0.000135	-0.000872	0.006757	0.017772	-0.000350	0.000415	-0.001216	-0.000088
0.187500	4.022824	3.954835	3.879619	3.722948	3.691745	3.694701	5.013767	3.966988	3.989979	3.933814	3.625727	3.360010	0.023311	0.005903	0.000320	-0.000666	0.000136	-0.000870	0.006757	0.017773	-0.000352	0.000415	-0.001213	-0.000087
0.250000	4.022824	3.954506	3.879619	3.722620	3.692074	3.694045	5.016395	3.966988	3.989651	3.934142	3.626712	3.362638	0.023639	0.006232	0.000320	-0.000337	0.000136	-0.000872	0.006759	0.017774	-0.000352	0.000416	-0.001212	-0.000087
0.312500	4.024795	3.955163	3.879291	3.721963	3.691745	3.692731	5.017708	3.966988	3.989979	3.933814	3.628026	3.366251	0.024625	0.005903	-0.000009	-0.000337	0.000137	-0.000872	0.006758	0.017775	-0.000352	0.000414	-0.001212	-0.000089
0.375000	4.023810	3.954178	3.879619	3.722620	3.691745	3.691088	5.019022	3.966659	3.989979	3.933814	3.630982	3.369864	0.023968	0.006560	0.000320	-0.000337	0.000136	-0.000872	0.006758	0.017774	-0.000353	0.000414	-0.001210	-0.000088
0.437500	4.024467	3.955163	3.880605	3.721306	3.692074	3.689118	5.020336	3.966988	3.990636	3.934142	3.631639	3.372163	0.024625	0.006560	0.000648	-0.000009	0.000137	-0.000870	0.006761	0.017774	-0.000351	0.000414	-0.001212	-0.000088
0.500000	4.024138	3.955492	3.881262	3.720321	3.691417	3.688789	5.020664	3.966988	3.990636	3.934471	3.631967	3.373148	0.024953	0.006889	0.000648	-0.000009	0.000138	-0.000871	0.006759	0.017775	-0.000351	0.000415	-0.001212	-0.000087
0.562500	4.024138	3.955492	3.881590	3.719007	3.691417	3.687804	5.020664	3.966988	3.990636	3.934471	3.631967	3.373805	0.025282	0.006560	0.000320	-0.000009	0.000136	-0.000871	0.006759	0.017773	-0.000351	0.000415	-0.001211	-0.000087
